Value,Suit,Category,Color,Name,Full Name,Image,Description,Long Description,Similar To,
7,diamonds,Application Services,d9a63f,SWF,Simple Workflow Service,Application-Services_AmazonSWF.eps,Workflow Service for Coordinating Application Components,"Amazon SWF helps developers build, run, and scale background jobs that have parallel or sequential steps.",IronWorker,
8,diamonds,Mobile Services,c17a9e,MobileHub,,Mobile-Services_AWSMobileHub.eps,"Build, Test, and Monitor Mobile Apps","AWS Mobile Hub lets you easily add and configure features for your mobile apps, including user authentication, data storage, backend logic, push notifications, content delivery, and analytics.",,
9,diamonds,Mobile Services,c17a9e,Cognito,,Mobile-Services_AmazonCognito.eps,User Identity and App Data Synchronization,"Amazon Cognito lets you easily add user sign-up and sign-in to your mobile and web apps. With Amazon Cognito, you can also authenticate users through social identity providers such as Facebook, Twitter, or Amazon, or by using your own identity solution.",OAuth.io,
10,diamonds,Mobile Services,c17a9e,Device Farm,,Mobile-Services_AWSDeviceFarm.eps,"Test Android, iOS, and Web Apps on Real Devices in the Cloud","Improve the quality of your iOS, Android, and web applications by testing against real phones and tablets in the AWS Cloud.","MobileTest, iOS emulator",
J,diamonds,Mobile Services,c17a9e,Mobile Analytics,,Mobile-Services_AmazonMobileAnalytics.eps,"Collect, View and Export App Analytics","With Amazon Mobile Analytics, you can measure app usage and app revenue.",Flurry,
Q,diamonds,Mobile Services,c17a9e,SNS,Simple Notification Svc.,Mobile-Services_AmazonSNS.eps,Push Notification Service,"Amazon SNS is a fast, flexible, fully managed pub-sub messaging service. Use it as a cloud-based mobile app notification service to send push notifications, email, and SMS messages.","UrbanAirship, Twilio",
K,diamonds,Game Development,ac688a,GameLift,,Game-Development_AmazonGameLift.eps,Deploy and Scale Session-based Mulltiplayer Games,"Deploy and scale session-based multiplayer games in the cloud in minutes, with no upfront costs.",,
joker,,About,,,,,Flash cards. I built these because I kept getting lost… etc. Link to purchase,,,
joker,,Enterprise? Amazon Leadership Principles?,,,,,,,,
,,Enterprise Applications,,WorkSpaces,,Enterprise-Applications_AmazonWorkSpaces.eps,Desktops in the Cloud,,,
,,Enterprise Applications,,WorkDocs,,Enterprise-Applications_AmazonWorkDocs.eps,Secure Enterprise Storage and Sharing Service,,"Dropbox, DataAnywhere",
,,Enterprise Applications,,WorkMail,,Enterprise-Applications_AmazonWorkMail.eps,Secure Email and Calendaring Service,,Google Apps for Domains,
